Company,Rating
Cacao Prieto,3.25
Cao,3.25
Castronovo,3.25
Castronovo,3.25
Charm School,3.25
Chocolate Con Amor,3.25
Creo,3.25
Dandelion,3.25
Dandelion,3.25
Dandelion,3.25
Dandelion,3.25
Dandelion,3.25
DAR,3.25
Dark Forest,3.25
Dark Forest,3.25
Dark Forest,3.25
Davis,3.25
Dick Taylor,3.25
Dick Taylor,3.25
Dulcinea,3.25
Durci,3.25
Durci,3.25
ENNA,3.25
Finca,3.25
French Broad,3.25
Fresco,3.25
Fresco,3.25
Fresco,3.25
Fresco,3.25
Fresco,3.25
Fruition,3.25
Goodnow Farms,3.25
Goodnow Farms,3.25
Guittard,3.25
Guittard,3.25
Guittard,3.25
Harper Macaw,3.25
Heirloom Cacao Preservation (Brasstown),3.25
hexx,3.25
hexx,3.25
Indaphoria,3.25
Isidro,3.25
Isidro,3.25
Kto,3.25
Kto,3.25
Kto,3.25
Kto,3.25
K'ul,3.25
L.A. Burdick (Felchlin),3.25
L.A. Burdick (Felchlin),3.25
Letterpress,3.25
Letterpress,3.25
Letterpress,3.25
Letterpress,3.25
Lonohana,3.25
Madre,3.25
Madre,3.25
Manoa,3.25
Manoa,3.25
Map Chocolate,3.25
Mars,3.25
Mast Brothers,3.25
Mast Brothers,3.25
Mast Brothers,3.25
Maverick,3.25
Maverick,3.25
Maverick,3.25
Middlebury,3.25
Middlebury,3.25
Moho,3.25
Molucca,3.25
Noble Bean aka Jerjobo,3.25
Parliament,3.25
Pitch Dark,3.25
Pitch Dark,3.25
Pitch Dark,3.25
Raaka,3.25
Ranger,3.25
Ritual,3.25
Rogue,3.25
Sacred,3.25
Shark Mountain,3.25
Shark Mountain,3.25
Snake & Butterfly,3.25
Solstice,3.25
Solstice,3.25
Somerville,3.25
Spagnvola,3.25
Sublime Origins,3.25
Taza,3.25
TCHO,3.25
Tejas,3.25
Tejas,3.25
Tejas,3.25
Tejas,3.25
Terroir,3.25
Terroir,3.25
Theo,3.25
twenty-four blackbirds,3.25
Upchurch,3.25
Vicuna,3.25
Vicuna,3.25
Videri,3.25
Videri,3.25
Violet Sky,3.25
Woodblock,3.25
Woodblock,3.25
Zak's,3.25
Zak's,3.25
Zak's,3.25
Altus aka Cao Artisan,3.0
Altus aka Cao Artisan,3.0
Altus aka Cao Artisan,3.0
Amano,3.0
Amano,3.0
Amano,3.0
Anahata,3.0
Askinosie,3.0
Bittersweet Origins,3.0
Bittersweet Origins,3.0
Bittersweet Origins,3.0
Bittersweet Origins,3.0
Bittersweet Origins,3.0
Black Mountain,3.0
Blue Bandana,3.0
Brasstown aka It's Chocolate,3.0
Brazen,3.0
Breeze Mill,3.0
Cacao Prieto,3.0
Cao,3.0
Cao,3.0
Castronovo,3.0
Castronovo,3.0
Cello,3.0
Chocolate Con Amor,3.0
Chocolate Con Amor,3.0
Chocolate Con Amor,3.0
Chuao Chocolatier,3.0
Coleman & Davis,3.0
Dandelion,3.0
Dandelion,3.0
DAR,3.0
Dark Forest,3.0
Dark Forest,3.0
Dean and Deluca (Belcolade),3.0
